Timestamp,AAPL,GOOGL,MSFT,NVDA
2024-08-19 15:30:00,225.6514,166.4362,421.58,129.9791
2024-08-19 16:00:00,225.6914,166.576,421.72,129.6891
2024-08-19 16:30:00,225.5815,166.6559,421.6197,129.4591
2024-08-19 17:00:00,225.6015,166.536,421.1426,129.4291
2024-08-19 17:30:00,225.5615,166.7757,421.69,129.3791
2024-08-19 18:00:00,225.6315,166.9754,422,129.3091
2024-08-19 18:30:00,225.5865,167.1552,422.05,129.1892
2024-08-19 19:00:00,225.4716,166.9954,422.11,129.1702
2024-08-19 19:30:00,225.4423,167.1352,421.95,129.0992
2024-08-20 09:00:00,225.5615,166.6858,421.97,128.4192
2024-08-20 09:30:00,226.7702,168.2937,423.4098,129.4891
2024-08-20 10:00:00,226.4106,167.4648,422.55,127.2995
2024-08-20 10:30:00,225.7114,167.1252,423.12,126.9586
2024-08-20 11:00:00,225.9611,166.8256,422.025,127.2793
2024-08-20 11:30:00,226.6771,167.6595,422.87,128.3592
2024-08-20 12:00:00,226.6503,167.6845,423.08,127.4092
2024-08-20 12:30:00,226.2708,167.3799,423.5,126.8801
2024-08-20 13:00:00,226.4606,167.6345,423.765,127.4293
2024-08-20 13:30:00,226.5105,167.7744,424.18,127.4233
2024-08-20 14:00:00,226.7702,167.9741,425.28,127.9393
2024-08-20 14:30:00,226.2758,167.7744,424.93,128.0939
2024-08-20 15:00:00,226.2358,167.4198,424.31,127.6094
2024-08-20 15:30:00,226.2608,166.9754,424.87,127.2593
2024-08-20 16:00:00,226.5355,167.0538,425.08,127.0693
2024-08-20 16:30:00,226.3507,166.9555,445.16,126.7894
2024-08-20 17:00:00,226.2308,166.7857,424.745,126.5194
2024-08-20 17:30:00,226.2508,166.8456,424.79,126.3394
2024-08-20 18:00:00,226.091,166.7757,424.645,126.6894
2024-08-20 18:30:00,226.4106,166.9255,425,126.4894
2024-08-20 19:00:00,226.3107,166.8356,424.88,125.9494
2024-08-20 19:30:00,226.1564,166.8331,424.5125,125.8794
2024-08-21 09:00:00,226.2608,164.8783,424.03,127.2743
2024-08-21 09:30:00,226.8102,166.1366,423.595,127.9893
2024-08-21 10:00:00,226.975,166.2165,424.165,128.0328
2024-08-21 10:30:00,226.031,165.6173,423.69,127.7893
2024-08-21 11:00:00,226.2418,165.6271,423.82,128.2191
